SpaceType,Type,MajorCategory,MinorCategory,Status
KITCHEN,EMERGENCY,UNSANITARY CONDITION,MOLD,OPEN
BATHROOM,IMMEDIATE EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
LOBBY,EMERGENCY,DOOR/WINDOW,DOOR,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,DOOR/WINDOW,WINDOW FRAME,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
KITCHEN,EMERGENCY,WATER LEAK,HEAVY FLOW,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
KITCHEN,NON EMERGENCY,PAINT/PLASTER,CEILING,OPEN
ENTIRE APARTMENT,EMERGENCY,SAFETY,CARBON MONOXIDE DETECTOR,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
KITCHEN,NON EMERGENCY,GENERAL,CABINET,OPEN
HALLWAY,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
KITCHEN,EMERGENCY,PLUMBING,RADIATOR,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
LIVING ROOM,EMERGENCY,WATER LEAK,HEAVY FLOW,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,IMMEDIATE EMERGENCY,PLUMBING,STEAM PIPE/RISER,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
ENTIRE APARTMENT,IMMEDIATE EMERGENCY,ELECTRIC,POWER OUTAGE,CLOSE
BATHROOM,EMERGENCY,PLUMBING,BASIN/SINK,CLOSE
LOBBY,EMERGENCY,WATER LEAK,HEAVY FLOW,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
ENTIRE APARTMENT,EMERGENCY,DOOR/WINDOW,WINDOW FRAME,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
LIVING ROOM,EMERGENCY,SAFETY,WINDOW GUARD BROKEN/MISSING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
KITCHEN,EMERGENCY,UNSANITARY CONDITION,MOLD,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ROOF,EMERGENCY,OUTSIDE BUILDING,ROOFING,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,EMERGENCY,PAINT/PLASTER,CEILING,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,EMERGENCY,SAFETY,SMOKE DETECTOR,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
ENTIRE APARTMENT,EMERGENCY,GENERAL,COOKING GAS,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BEDROOM,IMMEDIATE EMERGENCY,PLUMBING,STEAM PIPE/RISER,CLOSE
BATHROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BEDROOM,NON EMERGENCY,WATER LEAK,SLOW LEAK,OPEN
BATHROOM,NON EMERGENCY,PLUMBING,BATHTUB/SHOWER,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
HALLWAY,EMERGENCY,PAINT/PLASTER,CEILING,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BATHROOM,NON EMERGENCY,PLUMBING,BATHTUB/SHOWER,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BATHROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
KITCHEN,NON EMERGENCY,APPLIANCE,ELECTRIC/GAS RANGE,CLOSE
BEDROOM,IMMEDIATE EMERGENCY,PLUMBING,STEAM PIPE/RISER,OPEN
BEDROOM,EMERGENCY,DOOR/WINDOW,WINDOW PANE,CLOSE
BATHROOM,EMERGENCY,WATER LEAK,HEAVY FLOW,CLOSE
BATHROOM,EMERGENCY,PLUMBING,RADIATOR,CLOSE
BATHROOM,EMERGENCY,PLUMBING,BATHTUB/SHOWER,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
KITCHEN,NON EMERGENCY,APPLIANCE,ELECTRIC/GAS RANGE,CLOSE
KITCHEN,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
KITCHEN,EMERGENCY,SAFETY,WINDOW GUARD BROKEN/MISSING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,EMERGENCY,PLUMBING,BATHTUB/SHOWER,CLOSE
ENTIRE APARTMENT,EMERGENCY,GENERAL,COOKING GAS,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
LIVING ROOM,EMERGENCY,PLUMBING,RADIATOR,CLOSE
BEDROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
BATHROOM,EMERGENCY,ELECTRIC,LIGHTING,CLOSE
BATHROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
LIVING ROOM,EMERGENCY,DOOR/WINDOW,WINDOW FRAME,OPEN
LIVING ROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
HALLWAY,EMERGENCY,ELECTRIC,NO LIGHTING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
LIVING ROOM,EMERGENCY,WATER LEAK,HEAVY FLOW,OPEN
ENTIRE APARTMENT,EMERGENCY,FLOORING/STAIRS,FLOOR,CLOSE
LIVING ROOM,EMERGENCY,PAINT/PLASTER,CEILING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
KITCHEN,EMERGENCY,UNSANITARY CONDITION,MOLD,OPEN
ENTIRE APARTMENT,EMERGENCY,PLUMBING,RADIATOR,CLOSE
OTHER ROOM/AREA,NON EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BEDROOM,EMERGENCY,PLUMBING,RADIATOR,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
LIVING ROOM,EMERGENCY,DOOR/WINDOW,WINDOW FRAME,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
STAIRS,NON EMERGENCY,PAINT/PLASTER,CEILING,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
ENTIRE APARTMENT,EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
LIVING ROOM,EMERGENCY,PLUMBING,RADIATOR,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
YARD,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,CLOSE
ENTIRE APARTMENT,EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
BASEMENT,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
BEDROOM,EMERGENCY,PLUMBING,RADIATOR,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BEDROOM,EMERGENCY,DOOR/WINDOW,WINDOW FRAME,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BASEMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
KITCHEN,EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
KITCHEN,EMERGENCY,PLUMBING,BASIN/SINK,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
KITCHEN,EMERGENCY,WATER LEAK,HEAVY FLOW,OPEN
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
KITCHEN,EMERGENCY,PLUMBING,BASIN/SINK,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
LOBBY,EMERGENCY,DOOR/WINDOW,DOOR,CLOSE
ENTRANCE/FOYER,EMERGENCY,DOOR/WINDOW,DOOR,CLOSE
BUILDING ENTRANCE,EMERGENCY,WATER LEAK,HEAVY FLOW,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
BUILDING ENTRANCE,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
BUILDING ENTRANCE,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,OPEN
BEDROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
BUILDING ENTRANCE,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
ENTRANCE/FOYER,NON EMERGENCY,PAINT/PLASTER,DOOR/FRAME,CLOSE
FIRE STAIRS/TOWER,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BEDROOM,EMERGENCY,DOOR/WINDOW,WINDOW FRAME,CLOSE
BATHROOM,EMERGENCY,PLUMBING,TOILET,CLOSE
KITCHEN,IMMEDIATE EMERGENCY,PAINT/PLASTER,CEILING,OPEN
ENTIRE APARTMENT,IMMEDIATE EMERGENCY,PLUMBING,STEAM PIPE/RISER,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
ENTIRE APARTMENT,EMERGENCY,DOOR/WINDOW,DOOR,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
BEDROOM,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
PRIVATE HALL,NON EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
BEDROOM,EMERGENCY,ELECTRIC,WIRING,CLOSE
OTHER ROOM/AREA,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BEDROOM,IMMEDIATE EMERGENCY,PAINT/PLASTER,CEILING,OPEN
BUILDING-WIDE,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,CLOSE
ENTIRE APARTMENT,EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
ENTIRE APARTMENT,EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
BATHROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
BATHROOM,IMMEDIATE EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
BATHROOM,EMERGENCY,PLUMBING,BASIN/SINK,OPEN
BEDROOM,NON EMERGENCY,WATER LEAK,DAMP SPOT,OPEN
OTHER ROOM/AREA,NON EMERGENCY,DOOR/WINDOW,WINDOW FRAME,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
ENTIRE APARTMENT,EMERGENCY,PAINT/PLASTER,CEILING,OPEN
KITCHEN,NON EMERGENCY,APPLIANCE,REFRIGERATOR,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
KITCHEN,NON EMERGENCY,GENERAL,CABINET,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
LOBBY,EMERGENCY,DOOR/WINDOW,DOOR,OPEN
STAIRS,EMERGENCY,FLOORING/STAIRS,FLOOR,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,NON EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
BATHROOM,NON EMERGENCY,WATER LEAK,SLOW LEAK,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,NON EMERGENCY,PLUMBING,BATHTUB/SHOWER,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BATHROOM,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
BEDROOM,IMMEDIATE EMERGENCY,PAINT/PLASTER,WALL,CLOSE
BATHROOM,EMERGENCY,PLUMBING,BATHTUB/SHOWER,CLOSE
ENTRANCE/FOYER,EMERGENCY,ELECTRIC,WIRING,OPEN
BATHROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
BATHROOM,EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
KITCHEN,EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
KITCHEN,NON EMERGENCY,WATER LEAK,DAMP SPOT,OPEN
ENTRANCE/FOYER,NON EMERGENCY,WATER LEAK,SLOW LEAK,OPEN
BATHROOM,EMERGENCY,PAINT/PLASTER,CEILING,OPEN
ENTIRE APARTMENT,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
KITCHEN,NON EMERGENCY,GENERAL,CABINET,OPEN
KITCHEN,NON EMERGENCY,PLUMBING,BASIN/SINK,OPEN
KITCHEN,EMERGENCY,UNSANITARY CONDITION,MOLD,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BATHROOM,EMERGENCY,DOOR/WINDOW,DOOR,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ENTIRE APARTMENT,EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
BATHROOM,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
KITCHEN,EMERGENCY,PLUMBING,BASIN/SINK,OPEN
BEDROOM,EMERGENCY,DOOR/WINDOW,DOOR,CLOSE
BEDROOM,EMERGENCY,DOOR/WINDOW,WINDOW PANE,OPEN
KITCHEN,EMERGENCY,PAINT/PLASTER,CEILING,OPEN
BEDROOM,EMERGENCY,DOOR/WINDOW,WINDOW FRAME,OPEN
KITCHEN,NON EMERGENCY,PLUMBING,WATER SUPPLY,OPEN
LIVING ROOM,EMERGENCY,DOOR/WINDOW,WINDOW PANE,OPEN
BASEMENT,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,OPEN
LIVING ROOM,EMERGENCY,DOOR/WINDOW,WINDOW FRAME,OPEN
KITCHEN,IMMEDIATE EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
GARAGE,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
KITCHEN,EMERGENCY,UNSANITARY CONDITION,MOLD,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
KITCHEN,EMERGENCY,ELECTRIC,WIRING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
LIVING ROOM,EMERGENCY,ELECTRIC,WIRING,OPEN
KITCHEN,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
ENTIRE APARTMENT,NON EMERGENCY,GENERAL,BELL/BUZZER/INTERCOM,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
BEDROOM,NON EMERGENCY,ELECTRIC,OUTLET/SWITCH,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
KITCHEN,NON EMERGENCY,FLOORING/STAIRS,FLOOR,CLOSE
BUILDING-WIDE,IMMEDIATE EMERGENCY,ELECTRIC,POWER OUTAGE,CLOSE
BUILDING-WIDE,IMMEDIATE EMERGENCY,ELECTRIC,POWER OUTAGE,OPEN
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
BATHROOM,NON EMERGENCY,WATER LEAK,SLOW LEAK,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,EMERGENCY,PLUMBING,RADIATOR,CLOSE
KITCHEN,NON EMERGENCY,FLOORING/STAIRS,FLOOR,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
YARD,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
KITCHEN,NON EMERGENCY,APPLIANCE,ELECTRIC/GAS RANGE,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
LIVING ROOM,NON EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
BASEMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
ENTIRE APARTMENT,EMERGENCY,DOOR/WINDOW,WINDOW FRAME,CLOSE
BUILDING-WIDE,IMMEDIATE EMERGENCY,PLUMBING,WATER SUPPLY,CLOSE
BEDROOM,EMERGENCY,DOOR/WINDOW,WINDOW FRAME,CLOSE
ROOF,EMERGENCY,OUTSIDE BUILDING,ROOFING,OPEN
PRIVATE HALL,EMERGENCY,WATER LEAK,HEAVY FLOW,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
ENTIRE APARTMENT,EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
KITCHEN,NON EMERGENCY,APPLIANCE,ELECTRIC/GAS RANGE,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
ENTIRE APARTMENT,EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
BASEMENT,EMERGENCY,DOOR/WINDOW,DOOR,CLOSE
ENTRANCE/FOYER,NON EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
BATHROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
BEDROOM,NON EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
PRIVATE HALL,NON EMERGENCY,WATER LEAK,SLOW LEAK,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
KITCHEN,NON EMERGENCY,APPLIANCE,REFRIGERATOR,OPEN
ENTIRE APARTMENT,EMERGENCY,UNSANITARY CONDITION,MOLD,OPEN
KITCHEN,EMERGENCY,APPLIANCE,ELECTRIC/GAS RANGE,OPEN
BATHROOM,NON EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
KITCHEN,NON EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
KITCHEN,NON EMERGENCY,APPLIANCE,ELECTRIC/GAS RANGE,OPEN
